Subject,Type,RMSD.copx.IMF3,ApEn.copx.IMF1,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copy.IMF1,ApEn.copy.IMF2,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,POWER.copx.IMF3,MF.copx.IMF3,MF.copx.IMF4,MF.copy.IMF2
102,Fall,0.162479968,0.481619808,0.113469181,0.05913171,0.268357401,0.290753642,0.583081999,0.379386482,0.113797202,0.05781274,0.438627799,0.137745787,0.227255148,158.0594747,0.466666667,0.266666667,0.983333333
102,Fall,0.130882223,0.593519754,0.113554229,0.05643398,0.378158901,0.316203473,0.646004634,0.521512442,0.107774088,0.057649192,0.569727532,0.239513548,0.221459139,103.6545013,0.433333333,0.25,1.133333333
102,Fall,0.158790755,0.389232854,0.141949404,0.055569101,0.540159895,0.288808129,0.502273675,0.250994043,0.142969489,0.055002452,0.294865474,0.422943187,0.216425313,151.2013988,0.566666667,0.266666667,0.966666667
105,Fall,0.257971113,0.457278217,0.104353697,0.057489758,0.143022709,0.193352695,0.574915423,0.277404399,0.090577329,0.050535839,0.626883587,0.025373292,0.159863551,399.013058,0.516666667,0.283333333,0.766666667
105,Fall,0.126995735,0.614887991,0.144919455,0.059018256,0.237788725,0.186221234,0.654825677,0.52150945,0.13499526,0.050820578,0.620207993,0.159596086,0.107156131,96.8812214,0.6,0.266666667,0.766666667
105,Fall,0.138997714,0.357775142,0.11705822,0.059230416,0.278107366,0.207659049,0.513382905,0.252983086,0.104873998,0.055050481,0.53404195,0.198909084,0.117322397,116.0508606,0.5,0.3,0.866666667
108,Fall,0.11305479,0.544605587,0.125525495,0.060921959,0.533497614,0.323051991,0.615947852,0.439467635,0.119052028,0.056990962,0.416692954,0.453983549,0.223445803,76.84272663,0.516666667,0.3,1.166666667
108,Fall,0.101747339,0.571380624,0.134878653,0.051109787,0.577270179,0.418658233,0.578043051,0.496537459,0.13159833,0.045472355,0.33355494,0.48660084,0.337864063,62.14844957,0.566666667,0.25,1.35
108,Fall,0.08784615,0.534668339,0.146757657,0.063411589,0.632924754,0.284220211,0.588108325,0.419725407,0.143303934,0.064370531,0.417795883,0.566844671,0.190537521,46.31219123,0.583333333,0.3,0.966666667
110,Fall,0.212838561,0.5248614,0.125262295,0.064813069,0.345604461,0.247697314,0.650153498,0.452278338,0.121557173,0.063479685,0.610849749,0.27098746,0.151940175,271.1413683,0.533333333,0.3,0.916666667
